gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4.40578696347839e-315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/399537,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.368013,-120.158114,NA,NA,NA,NA,NA,NA,2013-09-15T12:13:48,15,9,2013,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,399537,NA,K Schneider,2013-09-16T10:10:03Z,CC_BY_NC_4_0,K Schneider,K Schneider,,NA,2024-02-16T18:31:57Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4.40286125494341e-315,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/258419,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.674427,-120.641212,NA,NA,NA,NA,NA,NA,2008-07-09,9,7,2008,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,258419,NA,K Schneider,2013-05-07T21:55:04Z,CC_BY_NC_4_0,K Schneider,K Schneider,,NA,2024-02-16T18:31:25Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.36158266614878e-315,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:IZ:23140,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)","Habronattus americanus (Keyserling, 1885)","(Keyserling, 1885)",US,Claremont,California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,34.12453,-117.71017,5375,1e-5,NA,NA,NA,NA,,NA,NA,NA,2170749,2170749,PRESERVED_SPECIMEN,MCZ,IZ,23140,NA,"World Spider Catalog, 19.5 (2019)",NA,CC_BY_NC_4_0,President and Fellows of Harvard College,Nathan Banks Collection,SYNTYPE,NA,2024-02-16T21:20:32Z,,RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2.36127547589283e-315,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:IZ:20259,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)","Habronattus americanus (Keyserling, 1885) (Keyserling, 1885)","(Keyserling, 1885)",US,[no specific locality data],Utah,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,39.324071000000004,-111.731737,362128,1e-5,NA,NA,NA,NA,,NA,NA,NA,2170749,2170749,PRESERVED_SPECIMEN,MCZ,IZ,20259,NA,"World Spider Catalog, 20.5 (2020)",NA,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],HOLOTYPE,NA,2024-02-16T21:20:55Z,,RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2.23441888966196e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/177108335,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.601707,-118.680668,NA,NA,NA,NA,NA,NA,2023-08-06T12:54,6,8,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,177108335,NA,calebcam,2023-08-07T14:06:08Z,CC_BY_NC_4_0,tombaxter,tombaxter,,NA,2024-02-16T19:19:45Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.22826227539686e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/175610307,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.920685,-119.27234,1499,NA,NA,NA,NA,NA,2023-07-28T13:29,28,7,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,175610307,NA,Beth Pratt,2023-07-29T20:43:21Z,CC_BY_4_0,Beth Pratt,Beth Pratt,,NA,2024-02-16T18:59:13Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.19302513359898e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/189795632,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,CA,,Alberta,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.689785,-112.867012,NA,NA,NA,NA,NA,NA,2023-08-11T12:54,11,8,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,189795632,NA,Jason Headley,2023-11-02T22:02:14Z,CC_BY_4_0,Jason Headley,Jason Headley,,NA,2024-02-16T19:00:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.18898304717637e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/187179334,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,CA,,British Columbia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,51.891354,-122.871185,20,NA,NA,NA,NA,NA,2023-06-28T14:46,28,6,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,187179334,NA,Thompson Hyggen,2023-10-11T23:12:06Z,CC0_1_0,Thompson Hyggen,Thompson Hyggen,,NA,2024-02-16T18:57:23Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.18896086708733e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/187187828,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,CA,,British Columbia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,51.891289,-122.871436,10,NA,NA,NA,NA,NA,2023-06-28T14:54,28,6,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,187187828,NA,Julia Carr,2023-10-12T00:36:24Z,CC0_1_0,Julia Carr,Julia Carr,,NA,2024-02-16T19:24:13Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2.18608386107339e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/186473432,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus americanus,NA,SPECIES,"Habronattus americanus (Keyserling, 1885)",Habronattus americanus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.26517,-118.844833,NA,NA,NA,NA,NA,NA,2023-10-06T12:01,6,10,2023,2170749,2170749,HUMAN_OBSERVATION,iNaturalist,Observations,186473432,NA,Peter Olsoy,2023-10-06T23:28:00Z,CC_BY_NC_4_0,Peter Olsoy,Peter Olsoy,,NA,2024-02-16T18:57:35Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
